Player,Match,Team ID,Role,Credit,Players Link,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next SR,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
MJ Dagar,smat2022_136,RCB,Bowler,8,https://www.iplt20.com/assets/images/default-headshot.png,21,12,0,175,0,0,2,1,25,4,24,2,6,12,12,0,1,1,37.5,0,1,0,1,16,3,0,0,1,2,1,1,14,19,3,4
Mohammed Siraj,ipl2023_65,RCB,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/63.png,0,0,0,0,0,0,0,0,0,4,17,1,4.25,17,24,0,2,0,75,2,2,100,1,36,3,1,2,1,3,1,1,34,38,3,4
V Vyshak,smat2022_130,RCB,Bowler,8,https://www.iplt20.com/assets/images/default-headshot.png,0,0,0,0,0,0,0,0,0,4,46,0,11.5,0,0,0,4,3,25,1,2,50,0,10,1,0,2,0,3,0,0,1,19,0,1
AS Joseph,sat20_2023_22,RCB,Bowler,11.5,https://www.iplt20.com/assets/images/default-headshot.png,0,0,0,0,0,0,0,0,0,4,38,0,9.5,0,0,0,4,1,33.3,4,4,100,1,20,3,3,6,3,5,1,1,18,22,3,3
Yash Dayal,smat2022_113,RCB,Bowler,5,https://www.iplt20.com/assets/images/default-headshot.png,0,0,0,0,0,0,0,0,0,3,28,0,9.33,0,0,0,5,0,61.1,0,0,0,0,13,2,0,0,1,0,-1,0,5,20,2,2
GJ Maxwell,t20blast2019_127,RCB,AR,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/28.png,14,11,1,127.3,0,0,3,0,54.5,4,26,1,6.5,26,24,0,1,0,20.8,27,17,158.8235294,1,11,2,23,31,15,19,0,1,9,12,2,2
Cameron Green,ipl2023_63,RCB,AR,8,https://www.iplt20.com/assets/images/default-headshot.png,4,6,0,66.7,0,0,0,0,50,2,16,1,8,16,12,0,1,1,41.7,8,6,133.3333333,0,15,2,1,16,1,11,0,1,9,21,1,2
YBK Jaiswal,smat2022_136,RR,Batsman,8,https://www.rajasthanroyals.com/static-assets/images/players/69238.png?v=6.01,27,28,1,96.4,0,0,3,1,53.6,0,0,0,0,0,0,0,0,0,0,37,22,168.1818182,0,0,0,29,45,17,26,0,0,0,0,0,0
R Parag,smat2022_117,RR,Batsman,8,https://www.rajasthanroyals.com/static-assets/images/players/66939.png?v=6.01,75,41,1,182.9,1,0,7,4,26.8,3,39,0,13,0,0,0,2,3,27.8,14,8,175,1,0,1,9,19,5,12,1,1,-3,3,1,0
SO Hetmyer,psl2021_16,RR,Batsman,9,https://www.rajasthanroyals.com/static-assets/images/players/64861.png?v=6.01,7,9,1,77.8,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,22,15,146.6666667,0,0,0,18,25,13,17,0,0,0,0,0,0
R Powell,psl2023_27,RR,Batsman,8,https://www.rajasthanroyals.com/static-assets/images/players/65291.png?v=6.01,2,4,1,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,23,15,153.3333333,0,6,0,19,27,13,17,0,0,4,8,0,1
SV Samson,smat2022_127,RR,WK,9.5,https://www.rajasthanroyals.com/static-assets/images/players/61837.png?v=6.01,59,38,1,155.3,1,0,8,0,13.2,0,0,0,0,0,0,0,0,0,0,23,14,164.2857143,0,0,0,18,27,11,16,0,0,0,0,0,0
DC Jurel,ipl2023_60,RR,WK,8,https://www.rajasthanroyals.com/static-assets/images/players/71370.png?v=6.01,1,7,1,14.3,0,0,0,0,85.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
JC Buttler,t20blast2022_110,RR,WK,10,https://www.rajasthanroyals.com/static-assets/images/players/9782.png?v=6.01,42,29,1,144.8,0,0,2,3,41.4,0,0,0,0,0,0,0,0,0,0,33,21,157.1428571,0,0,0,29,38,18,24,0,0,0,0,0,0
YS Chahal,smat2021_2_060,RR,Bowler,9,https://www.rajasthanroyals.com/static-assets/images/players/9844.png?v=6.01,1,1,0,100,0,0,0,0,0,4,31,1,7.75,31,24,0,1,2,37.5,0,1,0,1,26,4,0,1,1,2,1,1,24,28,3,4
M Prasidh Krishna,smat2021_096,RR,Bowler,8.5,https://www.rajasthanroyals.com/static-assets/images/players/65702.png?v=6.01,1,5,1,20,0,0,0,0,80,3,22,0,7.33,0,0,0,1,2,61.1,1,0,0,1,24,3,1,0,1,0,0,1,21,27,3,3
TA Boult,ssnz2021_30,RR,Bowler,9,https://www.rajasthanroyals.com/static-assets/images/players/4338.png?v=6.01,0,0,0,0,0,0,0,0,0,3,40,2,13.33,20,9,0,7,1,27.8,1,1,100,1,21,3,1,2,1,1,1,1,19,22,3,4
